HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459322.4687756,2021-04-17.9712016,bH,1.78,14.988,10.643,0.006,200.855,1.029,g
2459322.4700613,2021-04-17.9724874,bH,1.75,14.986,10.623,0.005,204.506,0.907,g
2459322.4886089,2021-04-17.9910363,bH,1.6,14.983,10.625,0.005,204.092,0.955,g
2459322.4898788,2021-04-17.9923064,bH,1.57,14.990,10.631,0.005,203.039,0.945,g
2459322.4911546,2021-04-17.9935823,bH,1.49,14.989,10.627,0.005,203.856,0.942,g
2459323.2263668,2021-04-18.7288472,bp,2.02,14.887,10.644,0.006,200.737,1.201,g
2459323.2275842,2021-04-18.7300647,bp,1.59,14.894,10.611,0.006,206.768,1.115,g
2459323.2288051,2021-04-18.7312857,bp,1.65,14.892,10.607,0.006,207.671,1.148,g
2459323.4705707,2021-04-18.9730685,bH,1.77,14.979,10.632,0.005,202.790,1.007,g
2459323.4913827,2021-04-18.9938820,bH,1.48,14.981,10.622,0.005,204.749,1.003,g
2459323.4926560,2021-04-18.9951554,bH,1.45,14.978,10.621,0.006,204.973,1.045,g
2459323.4939177,2021-04-18.9964172,bH,1.42,14.980,10.626,0.005,203.920,1.011,g
2459325.4699467,2021-04-20.9725849,bH,1.51,14.969,10.629,0.005,203.323,0.978,g
2459325.4712205,2021-04-20.9738588,bH,1.45,14.980,10.630,0.005,203.219,0.983,g
2459325.4769931,2021-04-20.9796318,bl,1.63,14.903,10.624,0.006,204.445,1.241,g
2459325.4782008,2021-04-20.9808396,bl,1.59,14.899,10.623,0.006,204.399,1.210,g
2459325.4794201,2021-04-20.9820590,bl,1.56,14.909,10.633,0.006,202.784,1.188,g
2459326.4605297,2021-04-21.9632360,bH,2.11,14.786,10.698,0.007,190.875,1.240,g
2459326.4617878,2021-04-21.9644941,bH,2.05,14.867,10.641,0.006,201.223,1.181,g
2459326.4630552,2021-04-21.9657617,bH,2.03,14.906,10.657,0.006,198.262,1.214,g
2459328.4629794,2021-04-23.9658201,bH,2.17,14.907,10.670,0.005,195.794,1.017,g
2459328.4642513,2021-04-23.9670921,bH,2.15,14.895,10.671,0.006,195.631,1.096,g
2459328.4655314,2021-04-23.9683723,bH,2.01,14.941,10.654,0.005,198.924,0.985,g
2459330.4601843,2021-04-25.9631549,bl,2.04,14.827,10.657,0.007,198.240,1.289,g
2459331.2073885,2021-04-26.7104065,bp,2.05,14.814,10.621,0.006,204.921,1.134,g
2459331.2093544,2021-04-26.7123726,bp,2.05,14.814,10.631,0.006,202.996,1.123,g
2459332.4575914,2021-04-27.9606875,bl,2.2,14.801,10.658,0.008,198.111,1.437,g
2459332.4588215,2021-04-27.9619177,bl,2.15,14.805,10.647,0.008,200.052,1.451,g
2459406.9414559,2021-07-11.4453191,bl,1.54,14.089,10.707,0.018,189.490,3.122,g
2459406.9426957,2021-07-11.4465588,bl,1.53,14.400,10.691,0.014,192.159,2.573,g
2459406.9439351,2021-07-11.4477981,bl,2.01,14.637,10.714,0.008,188.115,1.438,g
2459408.9353989,2021-07-13.4391729,bH,1.68,14.899,10.681,0.006,193.819,1.095,g
2459408.9366860,2021-07-13.4404599,bH,1.71,14.909,10.699,0.005,190.792,1.030,g
2459408.9379795,2021-07-13.4417534,bH,1.66,14.898,10.701,0.007,190.262,1.118,g
2459410.9426234,2021-07-15.4463024,bl,1.54,14.810,10.667,0.007,196.548,1.263,g
2459411.6825966,2021-07-16.1862392,bp,1.59,14.946,10.676,0.005,194.768,0.987,g
2459411.6838465,2021-07-16.1874891,bp,1.52,14.957,10.667,0.005,196.446,0.968,g
2459411.6851025,2021-07-16.1887450,bp,1.59,14.923,10.663,0.005,197.197,1.012,g
2459412.9330626,2021-07-17.4366423,bH,1.54,14.928,10.626,0.006,203.889,1.051,g
2459412.9343624,2021-07-17.4379420,bH,1.54,14.944,10.655,0.005,198.662,0.989,g
2459412.9356708,2021-07-17.4392504,bH,1.56,14.936,10.657,0.006,198.322,1.072,g
2459413.9257248,2021-07-18.4292532,bH,1.4,14.932,10.631,0.006,203.067,1.060,g
2459413.9270406,2021-07-18.4305689,bH,1.44,14.906,10.612,0.005,206.575,1.044,g
2459413.9283348,2021-07-18.4318631,bH,1.43,14.889,10.608,0.006,207.420,1.207,g
